Position,Cost Per Hire,Company Stage,Company Location,Notable Investor(s),Recruiter Name
Software Engineer - AI Agent (Assist),$24.0K,Series B,"San Francisco, CA","Emergence, NEA, SignalFire",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Sales Engineer - EMEA,$6.2K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Senior Customer Success Manager,$5.5K,Pre-Seed,"New York, NY",–,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Marketing Manager,$6.9K,Seed,"San Francisco, CA","Index Ventures, Costanoa Ventures",View Recruiter
Mental Health Therapist - Florida License,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
AI Data Engineer,$4.9K,Bootstrapped,"New York, NY",Bootstrapped,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Software Engineer,$3.2K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Senior Product Designer,$6.8K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Customer Success Manager,$3.6K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Head of Payer Sales,$2.7K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Machine Learning Engineer - Computer Vision,$1.5K,Seed,"San Francisco, CA",Suffolk Technologies,View Recruiter
Machine Learning Engineer - Computer Vision,$1.5K,Seed,"San Francisco, CA",Suffolk Technologies,View Recruiter
Clinical Supervisor (North Carolina),$1.2K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Staff Software Engineer,$8.9K,Pre-Seed,"New York, NY","Square Peg, Xtripe Angels",View Recruiter
Customer Success Manager,$3.6K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Chief Investment Officer,$2.4K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Enterprise Account Executive,$0.1K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Mentor 2025,$1.2K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Web Designer,$8.5K,Series A,"New York, NY",Y Combinator,View Recruiter
"GM, New Products",$1.4K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Solutions Architect,$2.7K,Series B,"New York, NY",Scale Ventures,View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Senior Product Designer,$0.1K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Business Development Representative,$1.3K,Series A,"New York, NY",Insight Partners,View Recruiter
Senior Electrical Engineer,–,Series A,"San Francisco, CA",Y Combinator,View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$0.1K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Software Engineer - AI (Founding),$13.9K,Seed,"New York, NY",Third Prime VC,View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Implementation Manager,$7.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Senior Software Engineer,$9.8K,Seed,"New York, NY","Y Combinator, Sorenson Capital",View Recruiter
Advisor Experience Manager,$0.5K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
"Senior Software Engineer, AI",$1.9K,Seed,"Toronto, Canada",Y Combinator,View Recruiter
Engineering Manager,$8.8K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Customer Success Manager,$1.0K,Series B,"Seattle, WA","Scale Venture Partners, Inspired Capital",View Recruiter
Software Engineer Intern (Sep - Dec 2025) - United States,$2.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Customer Success Manager,$1.0K,Series B,"Seattle, WA","Scale Venture Partners, Inspired Capital",View Recruiter
Mentor 2025,$1.2K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Florida License,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Software Engineering Intern (Sep - Dec 2025) - Canada,$2.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Mentor 2025,$1.2K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Edge Infrastructure Software Engineer,$8.8K,Series A,"Boston, MA","TDK Ventures, Flybridge Capital Partners",View Recruiter
Senior Fullstack Software Engineer,$0.7K,Seed,"New York, NY",Sequoia,View Recruiter
Senior Research Engineer - Audio & Language,$13.3K,Public,"Louisville, KY",N/A,View Recruiter
Product Design Lead,$3.1K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Business Development Representative (Mexico),$0.2K,Series A,"San Francisco, CA","Blumberg Capital, Momenta",View Recruiter
Senior/Principal DevOps Engineer - Contractor,$0.4K,Bootstrapped,"Minneapolis, MN",Bootstrapped,View Recruiter
Software Engineer,$2.6K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Full Stack Software Engineer,$29.5K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Account Executive (Mid-Market),$3.4K,Series A,"San Francisco, CA",Insight Partners,View Recruiter
Business Development Representative (Mexico),$0.2K,Series A,"San Francisco, CA","Blumberg Capital, Momenta",View Recruiter
Product Marketing Lead,$4.7K,Series A,"San Francisco, CA",Insight Partners,View Recruiter
Business Development Representative,$0.2K,Seed,"New York, NY",Sequoia,View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$0.1K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Enterprise Account Executive (West),$2.1K,Series A,"San Francisco, CA",Insight Partners,View Recruiter
Account Executive (Mid-Market),$3.4K,Series A,"San Francisco, CA",Insight Partners,View Recruiter
Head of Growth & Operations,$2.4K,Seed,"New York, NY",–,View Recruiter
Licensed Clinical Social Worker (LCSW) - Remote Teletherapy,$1.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Frontend Engineer,$4.5K,Seed,"San Francisco, CA",Suffolk Technologies,View Recruiter
Data & Analytics Engineer,$5.0K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Enterprise Account Executive (West),$2.1K,Series A,"San Francisco, CA",Insight Partners,View Recruiter
Founding Product Designer,$4.7K,Pre-Seed,"New York, NY","Square Peg, Xtripe Angels",View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Manager of Demand Generation,$4.1K,Series B,"Boston, MA","Y Combinator, SignalFire, Matrix, Accel",View Recruiter
Senior Software Engineer,$8.2K,Seed,"New York, NY","Correlation Ventures, Clocktower Ventures, WndrCo, Lux Capital",View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Account Manager,$2.9K,Seed,"San Francisco, CA",ACVC Partners,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Customer Operations Specialist,$0.6K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
AI Engineer,$13.4K,Seed,"San Francisco, CA",E14 Fund,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Founding Engineer (San Francisco),$4.9K,Seed,"San Francisco, CA","Better Tomorrow Ventures, Maschmeyer Group Ventures, Liquid 2 Ventures",View Recruiter
Enterprise Account Executive,$2.3K,Series A,"New York, NY",Insight Partners,View Recruiter
"Senior Software Engineer, Frontend",$8.5K,Series A,"New York, NY","Kleiner Perkins, Human Capital, Bedrock Capital",View Recruiter
Solutions Engineer,$10.2K,Series A,"San Francisco, CA","Andreessen Horowitz, Y Combinator",View Recruiter
Senior Backend / Systems Engineer,$4.2K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Brand Designer,$4.7K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Clinical Supervisor (North Carolina),$1.4K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Florida License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Florida License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior ML Engineer,$2.0K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Sales Development Representative,$0.4K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
"Software Engineer, Fullstack (Chicago)",$1.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Software Developer,$7.5K,Seed,"New York, NY","Praxis Ventures, Northpath Investments",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Full Stack Software Engineer,$25.8K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Sales Development Representative,$0.4K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
QA Analyst - Manual Testing,$2.1K,Series A,"New York, NY",Insight Partners,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
"Account Executive, Chicago",$1.3K,Series A,"New York, NY",Index Ventures,View Recruiter
Licensed Clinical Social Worker (LCSW) - Remote Teletherapy NC,$1.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Admissions Ops Manager,$11.1K,Non-profit,"Palo Alto, CA",–,View Recruiter
Customer Operations Specialist,$0.6K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Contracts & Compliance Specialist,$0.1K,Private,Remote,NA,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Healthcare Outcomes Data Analyst,$4.0K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Mental Health Therapist - Florida License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Product Design Lead,$1.6K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Implementation Specialist,$7.2K,Series A,"Austin, TX","Scale Venture Partners, 8VC, Bling Capital",View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Remote,$0.5K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Strategic Partnership Lead,$4.0K,Seed,"San Francisco, CA",Suffolk Technologies,View Recruiter
Entry ML Engineer,$6.0K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Senior ML Engineer,$1.0K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
DevSecOps Engineer,$5.9K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Senior Client Associate,$0.8K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Entry ML Engineer,$6.0K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Machine Learning Researcher,$3.1K,Seed,"San Francisco, CA","Khosla Ventures, ARTIS Ventures, Compound, Conviction Partners",View Recruiter
Admissions Advisor (7 month contract),$0.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Chief of Staff (Business Operations Focus),$12.3K,Stealth,"New York, NY",Population Health Partners,View Recruiter
Founding Head of Marketing,$2.7K,Series A,"New York, NY",Insight Partners,View Recruiter
Sr. Software Engineer,$5.1K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Implementation Specialist,$4.0K,Series A,"Austin, TX","Scale Venture Partners, 8VC, Bling Capital, Max Ventures",View Recruiter
"Software Engineer, Fullstack (Chicago)",$1.3K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Data Engineer - United States,$4.2K,Private,Remote,Bootstrapped,View Recruiter
Senior Software Engineer,$6.2K,Seed,"New York, NY","Asymmetric Captial Partners, Construct Capital, Lux Capital",View Recruiter
Finance Director,$5.5K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Business Development Representative (BDR),$4.0K,Series A,"Austin, TX","Scale Venture Partners, 8VC, Bling Capital, Max Ventures",View Recruiter
Customer Success Manager,$5.1K,Private,Remote,Bootstrapped,View Recruiter
Scholar-in-Residence (Part-time),$0.4K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Admissions Advisor (7 month contract),$0.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Senior Client Associate,$0.8K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Backend Engineer,$10.0K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Software Engineer,$4.7K,Seed,Remote,–,View Recruiter
MLOps Engineer,$9.5K,Series A,"Palo Alto, CA","USVP, MongoDB Ventures",View Recruiter
Software Developer,$7.5K,Seed,"San Francisco, CA","Praxis Ventures, Northpath Investments",View Recruiter
Admissions Advisor (7 month contract),$0.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Senior Electrical Engineer,$1.4K,Series A,"Chicago, IL","Bling Capital, Webb Investment Network",View Recruiter
Admissions Advisor (7 month contract),$0.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Scholar-in-Residence (Part-time),$0.4K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Professional Services Engineer,$3.0K,Series B,"San Francisco, CA",Andreessen Horowitz,View Recruiter
Admissions Advisor (7 month contract),$0.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Head of Social Media & Brand,$7.0K,Early Stage,"Nashville, TN",Beliade,View Recruiter
Head of CX/Trust & Safety,$7.5K,Seed,"San Francisco, CA",WndrCo,View Recruiter
Director of Engineering,$6.3K,Seed,"San Francisco, CA",Suffolk Technologies,View Recruiter
"Senior Software Engineer, AI",$4.5K,Seed,"Toronto, Canada",Y Combinator,View Recruiter
Business Development Representative - London,$1.0K,Series A,"New York, NY",Index Ventures,View Recruiter
Admissions Advisor (7 month contract),$0.6K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Clinical Recruiter,$1.3K,Series A,"San Francisco, CA","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Founding Head of Customer Success,$2.7K,Series A,"New York, NY",Insight Partners,View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
"Software Engineer, Fullstack (Chicago)",$1.0K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Founding CTO,$11.4K,Pre-Seed,New York City,Robert Hamwee,View Recruiter
QA Analyst - Manual Testing,$1.5K,Series A,"New York, NY",Insight Partners,View Recruiter
Enterprise Account Executive,$2.7K,Series A,"New York, NY",Insight Partners,View Recruiter
Provider Partnerships Manager,$7.1K,Series A,"San Francisco, CA","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Analytics Engineer,$0.7K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Senior Firmware Engineer,$1.8K,Series A,"Chicago, IL","Bling Capital, Webb Investment Network",View Recruiter
Jr. Account Executive,$8.9K,Pre-Seed,"New York, NY",Bootstrapped,View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Customer Success Manager,$3.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Software Engineer - Frontend,$2.0K,Series A,"New York, NY",Insight Partners,View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Somethings Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Senior Fullstack Engineer,$31.3K,Series A,"San Francisco, CA","Prime Movers Lab, founders of Calm, Apolo Ohno, Deontay Wilder",View Recruiter
"Senior Software Engineer, Networking",$3.6K,Series A,"Chicago, IL","Bling Capital, Webb Investment Network",View Recruiter
Software Engineer - Internal Tools & Automation,$5.4K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Solutions Engineer,$2.6K,Series B,"Boston, MA",Y Combinator,View Recruiter
BizOps & Executive Business Partner Lead,$4.4K,Series A,Remote,Standard Capital,View Recruiter
Enterprise Marketing Lead,$2.7K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Research Analyst - CEO Strategic Communications,$5.6K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Senior Frontend Engineer,$5.0K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
"Product Manager, Growth (San Francisco)",$5.7K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Strategy & Operations Analyst,$2.1K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Sales Solutions Engineer,$3.7K,Series A,Remote,Standard Capital,View Recruiter
Founding Technical Lead,$4.3K,Pre-Seed,"San Francisco, CA",Accel,View Recruiter
Sales Solutions Engineer,$3.7K,Series A,Remote,Standard Capital,View Recruiter
"Software Engineer, Fullstack (San Francisco)",$3.3K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Customer Success Manager (West Coast),$2.9K,Series A,"New York, NY",Index Ventures,View Recruiter
Senior Mechanical Engineer,$2.4K,Series A,"Chicago, IL","Bling Capital, Webb Investment Network",View Recruiter
Strategy & Operations Analyst,$2.1K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
"Senior Software Engineer, Networking",$3.6K,Series A,"Chicago, IL","Bling Capital, Webb Investment Network",View Recruiter
"Intermediate Software Engineer, AI",$14.8K,Seed,"Toronto, Canada",Y Combinator,View Recruiter
Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Founding Account Manager,$10.8K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Admissions Advisor (7 month contract),$0.6K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Senior Customer Success Manager (Toronto),$6.4K,Series A,"New York, NY",Index Ventures,View Recruiter
Senior Frontend Engineer,$5.0K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Admissions Advisor (Budapest),$3.9K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Founding Head of Engineering,$18.5K,Seed,"Los Angeles, CA",Cove Fund,View Recruiter
Senior Software Developer - Brazil Only,$7.3K,Series A,"San Francisco, CA","Altos Ventures, Greycroft, SemperVirens, Definition, and Better Tomorrow Ventures",View Recruiter
Senior Full-Stack Engineer (React & Python),$2.6K,Bootstrapped,Remote,Bootstrapped,View Recruiter
"Senior Software Engineer, Product",$10.8K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
VP Of Sales,$5.7K,Series A,"Dallas, TX","Village Global, Mantis Venture Capital, Origin Ventures, BDMI, and One Way Ventures,",View Recruiter
Senior Full-Stack Engineer (React & Rails),$7.1K,Bootstrapped,Remote,Bootstrapped,View Recruiter
Admissions Advisor (7 month contract),$0.6K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Mentor,$1.5K,Seed,"New York, NY","General Catalyst, Tusk Venture",View Recruiter
Customer Success Manager (Clinical Client-Focused) CSM,$5.6K,Series A,Remote,Standard Capital,View Recruiter
Senior Backend Engineer,$3.5K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Somethings Mentor,$1.5K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Principal Engineer (NW),$11.2K,Seet,"San Francisco, CA","a16z, NEA, Prime Movers Lab",View Recruiter
Senior Backend Engineer,$4.8K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Business Development Representative (BDR),$1.8K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Somethings Mentor,$1.5K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Frontend Engineer,$7.1K,Series A,"Austin, TX",Karman Ventures,View Recruiter
"Product Manager, ProfAI",$9.5K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Data & Analytics Engineer,$1.8K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Senior Fullstack Engineer,$11.7K,Seed,"San Francisco, CA","a16z, NEA, Prime Movers Lab",View Recruiter
Embedded Payroll Onboarding Lead (Player-Coach),$3.5K,Series A,"San Francisco, CA","Altos Ventures, Greycroft, Better Tomorrow Ventures, Definition, SemperVirens",View Recruiter
Somethings Mentor,$1.5K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Senior Backend Engineer,$4.8K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Engagement and Delivery Manager,$13.3K,Series B,"Boston, MA",Y Combinator,View Recruiter
Fractional CTO,$1.8K,Seed,"Los Angeles, CA",Costanoa Ventures,View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Customer Support Specialist,$1.2K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Software Engineer (Toronto),$2.3K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Deployment Strategist (AI Team),$1.9K,Series B,"New York, NY","General Catalyst, Bain Capital Ventures, Activant Capital, Bessemer Venture Partners",View Recruiter
Somethings Mentor,$1.5K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Clinical Psychologist,$1.0K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Tax Specialist - Subject Matter Expert,$3.3K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Business Development Representative (BDR),$1.8K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Senior Fullstack Engineer,$11.7K,Seed,"San Francisco, CA","a16z, NEA, Prime Movers Lab",View Recruiter
Customer Support Specialist,$1.2K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Full-Stack Software Engineer,$9.9K,Series A,"Dallas, TX","Village Global, Mantis Venture Capital, Origin Ventures, BDMI, One Way Ventures,",View Recruiter
Product Manager (Toronto),$0.3K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Mental Health Therapist,$0.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Product Manager (San Francisco),$2.0K,Seed,"San Francisco, CA",Susa Ventures,View Recruiter
Clinical Psychologist,$1.0K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, and Tiger Global Management",View Recruiter
Senior Customer Success Manager,$1.9K,Seed,"San Francisco, CA",Bessemer Venture Partners,View Recruiter
Software Engineer - New Grad,$1.0K,Seed,"New York, NY",Bootstrap,View Recruiter
Capture Manager – Unmanned Systems,$0.9K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
